SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Louisiana State,Dave Aranda,"$2,500,000 ","$150,000 ","$6,645,000 "
Clemson,Brent Venables,"$2,201,500 ","$195,000 ","$7,410,000 "
Texas A&M,Mike Elko,"$2,100,000 ","$280,000 ","$7,145,215 "
Auburn,Kevin Steele,"$1,900,500 ","$515,000 ","$5,902,500 "
Florida,Todd Grantham,"$1,801,500 ","$720,000 ","$5,752,000 "
Texas,Todd Orlando,"$1,710,000 ","$95,000 ","$5,955,699 "
Alabama,Steve Sarkisian,"$1,550,000 ","$312,000 ","$7,541,277 "
Arkansas,John Chavis,"$1,500,000 ","$133,333 ","$4,925,000 "
Mississippi,Mike MacIntyre,"$1,500,000 ","$200,000 ","$5,475,000 "
Michigan,Don Brown,"$1,500,000 ","$683,333 ","$6,005,000 "
Tennessee,Jim Chaney,"$1,500,000 ","$120,000 ","$6,985,000 "
Washington,Jimmy Lake,"$1,400,016 ","$91,000 ","$5,940,048 "
Oklahoma,Alex Grinch,"$1,400,000 ","$280,000 ","$5,835,000 "
South Carolina,Travaris Robinson,"$1,200,000 ","$115,000 ","$5,635,000 "
Alabama,Pete Golding,"$1,100,000 ","$242,000 ","$7,541,277 "
Michigan,Josh Gattis,"$1,100,000 ","$550,000 ","$6,005,000 "
Ohio State,Greg Mattison,"$1,100,000 ","$420,750 ","$7,245,000 "
Baylor,Phil Snow,"$1,052,253 ",--,--
Florida State,Kendal Briles,"$1,020,000 ","$174,167 ","$5,106,583 "
Clemson,Tony Elliott,"$1,001,500 ","$95,000 ","$7,410,000 "
Clemson,Jeff Scott,"$1,001,500 ","$95,000 ","$7,410,000 "
Virginia Tech,Bud Foster,"$1,000,000 ","$92,500 ","$3,670,000 "
Tennessee,Derrick Ansley,"$1,000,000 ","$120,000 ","$6,985,000 "
South Carolina,Bryan McClendon,"$1,000,000 ","$115,000 ","$5,635,000 "
Florida State,Harlon Barnett,"$980,000 ","$170,833 ","$5,106,583 "
Texas Christian,Sonny Cumbie,"$975,437 ",--,--
Wisconsin,Jim Leonhard,"$961,866 ",--,"$4,370,811 "
Georgia,James Coley,"$955,500 ","$234,000 ","$6,212,935 "
Washington,Pete Kwiatkowski,"$950,004 ","$91,000 ","$5,940,048 "
