Cohort Year,Year,School,Conference,Sport,State,GSR,FGR
2012,2018-2019,Abilene Christian University,Southland Conference,Football,TX,70,47
2012,2018-2019,University of Akron,Mid-American Conference,Football,OH,75,61
2012,2018-2019,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,59,49
2012,2018-2019,Alabama State University,Southwestern Athletic Conf.,Football,AL,58,39
2012,2018-2019,University of Alabama,Southeastern Conference,Football,AL,85,65
2012,2018-2019,University of Alabama at Birmingham,Conference USA,Football,AL,71,51
2012,2018-2019,University at Albany,Colonial Athletic Association,Football,NY,88,63
2012,2018-2019,Alcorn State University,Southwestern Athletic Conf.,Football,MS,58,40
2012,2018-2019,Appalachian State University,Sun Belt Conference,Football,NC,75,67
2012,2018-2019,Arizona State University,Pac-12 Conference,Football,AZ,75,60
2012,2018-2019,University of Arizona,Pac-12 Conference,Football,AZ,76,58
2012,2018-2019,Arkansas State University,Sun Belt Conference,Football,AR,80,62
2012,2018-2019,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,67,47
2012,2018-2019,Auburn University,Southeastern Conference,Football,AL,76,67
2012,2018-2019,Austin Peay State University,Ohio Valley Conference,Football,TN,72,63
2012,2018-2019,Ball State University,Mid-American Conference,Football,IN,73,63
2012,2018-2019,Charleston Southern University,Big South Conference,Football,SC,59,48
2012,2018-2019,Baylor University,Big 12 Conference,Football,TX,90,61
2012,2018-2019,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,66,49
2012,2018-2019,Boise State University,Mountain West Conference,Football,ID,87,63
2012,2018-2019,Boston College,Atlantic Coast Conference,Football,MA,90,81
2012,2018-2019,Bowling Green State University,Mid-American Conference,Football,OH,80,69
2012,2018-2019,Brigham Young University,Independent,Football,UT,64,43
2012,2018-2019,Brown University,The Ivy League,Football,RI,95,
2012,2018-2019,Bryant University,Northeast Conference,Football,RI,92,77
2012,2018-2019,Bucknell University,Patriot League,Football,PA,91,78
2012,2018-2019,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,79,64
2012,2018-2019,Butler University,Pioneer Football League,Football,IN,85,
2012,2018-2019,California Polytechnic State University,Big Sky Conference,Football,CA,73,70
2012,2018-2019,"California State University, Fresno",Mountain West Conference,Football,CA,78,65
2012,2018-2019,"California State University, Sacramento",Big Sky Conference,Football,CA,57,32
2012,2018-2019,"University of California, Berkeley",Pac-12 Conference,Football,CA,75,62
2012,2018-2019,"University of California, Davis",Big Sky Conference,Football,CA,85,86
2012,2018-2019,"University of California, Los Angeles",Pac-12 Conference,Football,CA,86,70
2012,2018-2019,Campbell University,Big South Conference,Football,NC,91,70
2012,2018-2019,Central Connecticut State University,Northeast Conference,Football,CT,66,54
2012,2018-2019,University of Central Florida,American Athletic Conference,Football,FL,84,64
2012,2018-2019,Central Michigan University,Mid-American Conference,Football,MI,77,64
2012,2018-2019,University of Cincinnati,American Athletic Conference,Football,OH,85,65
2012,2018-2019,The Citadel,Southern Conference,Football,SC,87,69
2012,2018-2019,Clemson University,Atlantic Coast Conference,Football,SC,81,61
2012,2018-2019,Coastal Carolina University,Sun Belt Conference,Football,SC,79,59
2012,2018-2019,Colgate University,Patriot League,Football,NY,91,80
