Team,Win-Loss Record,Win %,MOV,ATS +/-
LSU,15-0-0,100.00%,26.5,8.1
Clemson,14-1-0,93.30%,30.4,3.2
App State,13-1-0,92.90%,18.8,4.9
Ohio State,13-1-0,92.90%,33.1,10.8
Boise State,12-2-0,85.70%,12.9,-0.1
Georgia,12-2-0,85.70%,18.2,0.2
Memphis,12-2-0,85.70%,14,3.1
Oklahoma,12-2-0,85.70%,14.9,-4.6
Oregon,12-2-0,85.70%,18.9,5.4
Air Force,11-2-0,84.60%,14.2,5.7
Alabama,11-2-0,84.60%,28.6,0.6
Baylor,11-3-0,78.60%,13.9,5.9
Cincinnati,11-3-0,78.60%,9.1,2.4
Fla Atlantic,11-3-0,78.60%,13.7,8.1
Florida,11-2-0,84.60%,17.8,5.4
LA Lafayette,11-3-0,78.60%,18.2,6.9
Minnesota,11-2-0,84.60%,11.5,4.4
Navy,11-2-0,84.60%,14.8,8.7
Notre Dame,11-2-0,84.60%,18.8,5.2
Penn State,11-2-0,84.60%,19.8,5.2
Utah,11-3-0,78.60%,17.3,1.9
Central FL,10-3-0,76.90%,20.4,1.1
Hawaii,10-5-0,66.70%,2,2.9
Iowa,10-3-0,76.90%,11.8,4.2
LA Tech,10-3-0,76.90%,10.6,3.5
S Methodist,10-3-0,76.90%,8.5,2.6
San Diego St,10-3-0,76.90%,8.5,3.7
Wisconsin,10-4-0,71.40%,17.1,5.5
Auburn,9-4-0,69.20%,13.7,3.5
Michigan,9-4-0,69.20%,11,0.8
UAB,9-5-0,64.30%,1.6,-4.2
Virginia,9-5-0,64.30%,4.9,1.4
W Kentucky,9-4-0,69.20%,5.3,5.3
Arizona St,8-5-0,61.50%,2.4,0.1
Arkansas St,8-5-0,61.50%,-0.5,-2.2
Buffalo,8-5-0,61.50%,10.2,4.6
California,8-5-0,61.50%,-0.7,0.8
Central Mich,8-6-0,57.10%,2.1,4.6
Indiana,8-5-0,61.50%,7.4,2.1
Kansas St,8-5-0,61.50%,8.2,7.4
Kentucky,8-5-0,61.50%,7.8,6.4
Liberty,8-5-0,61.50%,4.8,3.4
Louisville,8-5-0,61.50%,-0.3,1.8
Marshall,8-5-0,61.50%,0.8,-4.7
Miami (OH),8-6-0,57.10%,-4,-0.6
Oklahoma St,8-5-0,61.50%,5.7,0
Pittsburgh,8-5-0,61.50%,-1.3,-4.3
Temple,8-5-0,61.50%,0.4,-3.8
Tennessee,8-5-0,61.50%,2.5,1.4
Texas,8-5-0,61.50%,7.8,2.5
Texas A&M,8-5-0,61.50%,7,-1.7
USC,8-5-0,61.50%,3.1,0.3
VA Tech,8-5-0,61.50%,6.2,1.4
Wake Forest,8-5-0,61.50%,2.8,-1.2
Washington,8-5-0,61.50%,12.6,2.9
Wyoming,8-5-0,61.50%,7.6,5.6
BYU,7-6-0,53.80%,3,-2.8
Charlotte,7-6-0,53.80%,-2.5,-0.1
GA Southern,7-6-0,53.80%,0,0.1
Georgia State,7-6-0,53.80%,-5,-0.2
Iowa State,7-6-0,53.80%,6.2,-1
Kent State,7-6-0,53.80%,-2.6,4.6
Michigan St,7-6-0,53.80%,-0.2,-7
N Carolina,7-6-0,53.80%,9.4,7.7
Nevada,7-6-0,53.80%,-10.6,-5
Ohio,7-6-0,53.80%,7.8,-0.1
S Mississippi,7-6-0,53.80%,0.4,-1.3
Tulane,7-6-0,53.80%,6.8,1.7
Utah State,7-6-0,53.80%,-1.5,-6.5
W Michigan,7-6-0,53.80%,7.2,0.3
Boston Col,6-7-0,46.20%,-3.2,-0.7
E Michigan,6-7-0,46.20%,-1.5,-2.5
Florida Intl,6-7-0,46.20%,-0.8,-4.6
Florida St,6-7-0,46.20%,0.1,-3.6
Illinois,6-7-0,46.20%,0.5,4.8
Miami (FL),6-7-0,46.20%,5.5,-5.3
Miss State,6-7-0,46.20%,-1.2,-4.7
Missouri,6-6-0,50.00%,5.9,-5.2
Toledo,6-6-0,50.00%,-4.9,-8.1
Wash State,6-7-0,46.20%,6.4,-2.8
Army,5-8-0,38.50%,5.5,-3.6
Ball State,5-7-0,41.70%,3.4,4.2
Coastal Car,5-7-0,41.70%,-0.2,1.1
Colorado,5-7-0,41.70%,-8.3,-0.5
Duke,5-7-0,41.70%,-3.9,-3.8
LA Monroe,5-7-0,41.70%,-7.1,-2.9
N Illinois,5-7-0,41.70%,-5.3,-3.5
Nebraska,5-7-0,41.70%,0.2,-3.4
Oregon St,5-7-0,41.70%,-1.3,5.6
San Jose St,5-7-0,41.70%,-1.8,2.9
Syracuse,5-7-0,41.70%,-2.4,-1.8
Troy,5-7-0,41.70%,-0.9,-4.3
TX Christian,5-7-0,41.70%,3.9,-2.9
W Virginia,5-7-0,41.70%,-8.2,1.5
Arizona,4-8-0,33.30%,-8.8,-5.5
Colorado St,4-8-0,33.30%,-3.1,3.1
E Carolina,4-8-0,33.30%,-6.9,-1
Fresno St,4-8-0,33.30%,-0.1,-5.5
Houston,4-8-0,33.30%,-3.3,1.2
Middle Tenn,4-8-0,33.30%,-3.6,0.1
Mississippi,4-8-0,33.30%,0.1,1.7
NC State,4-8-0,33.30%,-8,-11
North Texas,4-8-0,33.30%,-1.9,-6.8
Purdue,4-8-0,33.30%,-4.8,0.3
S Carolina,4-8-0,33.30%,-3.7,-1.9
S Florida,4-8-0,33.30%,-8.1,-3.4
Stanford,4-8-0,33.30%,-8.2,-4.2
Texas Tech,4-8-0,33.30%,0.2,-0.2
Tulsa,4-8-0,33.30%,-4.9,1.1
TX-San Ant,4-8-0,33.30%,-13.6,0.1
UCLA,4-8-0,33.30%,-8.1,-2.3
UNLV,4-8-0,33.30%,-8.8,-0.6
Bowling Grn,3-9-0,25.00%,-22.6,-6.1
GA Tech,3-9-0,25.00%,-15.8,-5.6
Kansas,3-9-0,25.00%,-12.6,-1
Maryland,3-9-0,25.00%,-9.4,-4
Northwestern,3-9-0,25.00%,-7.2,-3.1
Rice,3-9-0,25.00%,-8,4.5
Texas State,3-9-0,25.00%,-14.2,-3.6
Vanderbilt,3-9-0,25.00%,-15.2,-6.1
